,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,term_deposit
0,46-64,management,married,tertiary,no,2143,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
1,30-45,technician,single,secondary,no,29,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
2,30-45,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
3,46-64,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
4,30-45,unknown,single,unknown,no,1,no,no,unknown,5,may,<5,1,<7,0,unknown,no
5,30-45,management,married,tertiary,no,231,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
6,18-29,management,single,tertiary,no,447,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
7,30-45,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
8,46-64,retired,married,primary,no,121,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
9,30-45,technician,single,secondary,no,593,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
10,30-45,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
11,18-29,admin.,single,secondary,no,390,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
12,46-64,technician,married,secondary,no,6,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
13,46-64,technician,married,unknown,no,71,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
14,46-64,services,married,secondary,no,162,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
15,46-64,retired,married,primary,no,229,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
16,30-45,admin.,single,unknown,no,13,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
17,46-64,blue-collar,married,primary,no,52,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
18,46-64,retired,married,primary,no,60,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
19,30-45,services,married,secondary,no,0,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
20,18-29,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
21,46-64,management,married,tertiary,no,779,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
22,30-45,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
23,18-29,services,married,secondary,no,50,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
24,30-45,retired,married,primary,no,0,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
25,30-45,admin.,married,secondary,no,-372,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
26,30-45,management,single,tertiary,no,255,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
27,46-64,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
28,46-64,management,single,secondary,no,-246,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
29,30-45,technician,single,secondary,no,265,yes,yes,unknown,5,may,5-10,1,<7,0,unknown,no
30,46-64,technician,married,secondary,no,839,no,yes,unknown,5,may,<5,1,<7,0,unknown,no
31,46-64,management,married,tertiary,no,378,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
32,46-64,admin.,married,secondary,no,39,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
33,46-64,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
34,46-64,management,married,tertiary,no,10635,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
35,46-64,technician,divorced,secondary,no,63,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
36,18-29,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
37,46-64,technician,married,secondary,no,-3,no,no,unknown,5,may,>10,1,<7,0,unknown,no
38,30-45,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
39,30-45,admin.,single,secondary,no,0,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
40,30-45,services,divorced,secondary,no,2586,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
41,46-64,management,married,secondary,no,49,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
42,46-64,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
43,46-64,retired,married,secondary,no,529,yes,no,unknown,5,may,>10,1,<7,0,unknown,no
44,46-64,retired,married,unknown,no,96,yes,no,unknown,5,may,>10,1,<7,0,unknown,no
45,30-45,admin.,single,primary,no,-171,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
46,46-64,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
47,30-45,technician,married,secondary,no,0,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
48,46-64,technician,divorced,secondary,no,0,no,no,unknown,5,may,<5,1,<7,0,unknown,no
49,18-29,management,single,tertiary,no,0,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
50,46-64,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
51,46-64,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
52,30-45,management,married,tertiary,no,0,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
53,30-45,admin.,single,secondary,no,-76,yes,no,unknown,5,may,>10,1,<7,0,unknown,no
54,18-29,technician,single,secondary,no,-103,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
55,30-45,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,<5,1,<7,0,unknown,no
56,30-45,management,single,tertiary,no,424,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
57,46-64,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
58,30-45,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
59,46-64,services,married,primary,no,179,yes,no,unknown,5,may,>10,1,<7,0,unknown,no
60,30-45,admin.,married,tertiary,no,0,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
61,46-64,technician,divorced,secondary,no,989,yes,no,unknown,5,may,>10,1,<7,0,unknown,no
62,46-64,blue-collar,married,primary,no,249,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
63,30-45,services,married,secondary,no,790,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
64,46-64,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
65,46-64,management,married,tertiary,no,6530,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
66,46-64,retired,married,tertiary,no,100,no,no,unknown,5,may,5-10,1,<7,0,unknown,no
67,46-64,management,divorced,tertiary,no,59,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
68,46-64,technician,married,secondary,no,1205,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
69,30-45,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
70,46-64,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
71,30-45,services,married,secondary,no,25,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
72,46-64,management,married,secondary,no,282,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
73,46-64,blue-collar,married,primary,no,23,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
74,30-45,technician,married,secondary,no,1937,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
75,46-64,technician,married,secondary,no,384,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
76,30-45,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,<5,1,<7,0,unknown,no
77,46-64,services,divorced,secondary,no,91,no,no,unknown,5,may,5-10,1,<7,0,unknown,no
78,46-64,services,divorced,secondary,no,0,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
79,46-64,services,divorced,secondary,yes,1,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
80,30-45,admin.,single,secondary,no,206,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
81,46-64,services,divorced,secondary,no,164,no,no,unknown,5,may,<5,1,<7,0,unknown,no
82,30-45,technician,single,secondary,no,690,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
83,46-64,admin.,married,secondary,no,2343,yes,no,unknown,5,may,>10,1,<7,0,unknown,yes
84,46-64,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
85,46-64,blue-collar,married,primary,no,173,yes,no,unknown,5,may,5-10,2,<7,0,unknown,no
86,46-64,admin.,married,secondary,no,45,no,no,unknown,5,may,>10,1,<7,0,unknown,yes
87,30-45,technician,married,secondary,no,1270,yes,no,unknown,5,may,>10,1,<7,0,unknown,yes
88,46-64,management,divorced,secondary,no,16,yes,yes,unknown,5,may,<5,2,<7,0,unknown,no
89,46-64,retired,married,secondary,no,486,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
90,30-45,management,single,secondary,no,50,no,no,unknown,5,may,<5,1,<7,0,unknown,no
91,30-45,technician,married,secondary,no,152,yes,yes,unknown,5,may,<5,2,<7,0,unknown,no
92,46-64,admin.,married,secondary,no,290,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
93,46-64,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
94,46-64,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,<5,1,<7,0,unknown,no
95,30-45,management,married,tertiary,no,101,yes,yes,unknown,5,may,5-10,1,<7,0,unknown,no
96,46-64,blue-collar,married,secondary,no,383,no,no,unknown,5,may,<5,1,<7,0,unknown,no
97,46-64,retired,married,tertiary,no,81,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
98,30-45,technician,married,secondary,no,0,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
99,46-64,management,married,tertiary,no,229,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
100,30-45,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
101,46-64,blue-collar,married,primary,no,90,no,no,unknown,5,may,<5,1,<7,0,unknown,no
102,46-64,blue-collar,married,primary,no,128,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
103,46-64,blue-collar,married,primary,no,179,yes,no,unknown,5,may,<5,3,<7,0,unknown,no
104,18-29,technician,single,tertiary,no,0,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
105,30-45,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
106,46-64,technician,married,tertiary,no,151,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
107,30-45,admin.,married,secondary,no,61,no,yes,unknown,5,may,<5,1,<7,0,unknown,no
108,46-64,retired,single,secondary,no,30,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
109,30-45,management,married,tertiary,no,523,yes,no,unknown,5,may,>10,2,<7,0,unknown,no
110,18-29,services,divorced,secondary,no,31,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
111,46-64,technician,divorced,secondary,no,79,no,no,unknown,5,may,<5,1,<7,0,unknown,no
112,46-64,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,<5,2,<7,0,unknown,no
